Exposure	ARG	Health	Coefficient	F.value	P.interaction
NO2_M_D10K	cfrA	Allergic_rhinitis	0.0172140769515932	5.92876383943683	0.0150544015967213
NO2_M_D10K	cpaA	Wheeze	0.019422967288073	7.67217503252619	0.00570258752309844
NO2_M_D10K	dfrB6	Wheeze	0.0166005914413649	4.5591576611496	0.0329644051972757
NO2_M_D10K	efpA	Asthma	0.00854445469004978	5.9256055141005	0.0150812592761154
NO2_M_D10K	Escherichia coli acrA	Asthma	0.00962842560267565	7.87754127695832	0.00509392445155741
NO2_M_D10K	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	Phlegm	0.0350424075977644	12.5847797156696	0.00040534890908575
NO2_M_D10K	FosA8	Asthma	0.0141849491915243	17.8535727449513	2.58402201555731e-05
NO2_M_D10K	LptD	Allergic_rhinitis	0.0279503085069844	7.78451374275791	0.00536096546829946
NO2_M_D10K	LptD	Rhinitis	0.0261039654400115	5.40442285669462	0.0202677519293398
NO2_M_D10K	mdtP	Asthma	0.0154329344148237	19.7913789393441	9.51761452712683e-06
NO2_M_D10K	MexJ	Wheeze	0.0175698484627782	5.47632220575976	0.0194544700571272
NO2_M_D10K	MexV	Rhinitis	0.0201019805355121	5.82114390217173	0.0159980103455601
NO2_M_D10K	MuxC	CAT_score	0.0685841583076459	5.15122829152425	0.0234235486609619
NO2_M_D10K	myrA	Asthma	0.0180828731292075	25.2284930693727	5.94144580388947e-07
NO2_M_D10K	oleB	Asthma	0.0140344155551789	20.5805876681289	6.34747041631787e-06
NO2_M_D10K	OpmB	Asthma	0.00964971418707413	8.20201513991371	0.00426417137606282
NO2_M_D10K	OpmB	Cough	0.0160416763341365	4.71706534482488	0.0300785462590605
NO2_M_D10K	OpmD	Chronic_Bronchitis	0.0275635402735039	5.00716585358313	0.0254429168288268
NO2_M_D10K	Pseudomonas aeruginosa emrE	Wheeze	0.0173385832189072	4.88136158820689	0.0273543900644103
NO2_M_D10K	tet(C)	Allergic_rhinitis	0.025788482063329	8.26354523673111	0.00412308743573113
NO2_M_D10K	tet(C)	Rhinitis	0.0249162068042451	6.11776103375146	0.013533736427642
NO2_M_D10K	tlrC	Asthma	0.0108914289916919	10.0851564447681	0.00153638321684232
NO2_M_D10K	vanH gene in vanD cluster	Asthma	0.00676940690064911	3.85929177204039	0.0497235647923872
NO2_M_D10K	vanH gene in vanD cluster	CAT_score	0.0632425900393078	3.9462292516172	0.047225232784802
NO2_M_D10K	vanN	Phlegm	0.0204381411491128	4.5100226550707	0.0339203027343059
NO2_M_D10K	vanY gene in vanA cluster	Allergic_rhinitis	0.0179074461328504	7.06419946876718	0.0079783792266679
O3_M_D10K	Acinetobacter baumannii AbaQ	Asthma	0.0101114626896012	10.4032692756848	0.0012951070168301
O3_M_D10K	FosA8	Asthma	0.0108384435764983	12.8330044668301	0.000355506671334612
O3_M_D10K	LptD	Allergic_rhinitis	0.0159783076474424	4.41564782392511	0.035838613086404
O3_M_D10K	mdtP	Asthma	0.010683694380759	11.457383295677	0.000737326230674489
O3_M_D10K	myrA	Asthma	0.0134669681700899	17.2190201815465	3.58872859186876e-05
O3_M_D10K	PDC-313	Asthma	0.0105468082760571	11.5405631341857	0.00070538823763618
O3_M_D10K	pp-flo	Asthma	0.00941733023778675	8.96295870656071	0.002816879725991
O3_M_D10K	RlmA(II)	Allergic_rhinitis	0.0171368582867942	5.61063735784697	0.0180244231567445
O3_M_D10K	tet(C)	Rhinitis	0.0250085851427291	5.92081954265176	0.0151220523155007
O3_M_D10K	vanN	Allergic_rhinitis	0.0149627102690201	4.37730182154532	0.0366502232388799
O3_M_D10K	vanN	Phlegm	0.0278719543333853	7.96068956620438	0.0048667436629483
O3_M_D10K	vanY gene in vanA cluster	Allergic_rhinitis	0.0202002363138666	8.7444378292914	0.0031720463771984
Occupational_pollution	AAC(3)-IId	FEV1pred_post	-0.133210496872381	5.28889099723072	0.0216491366290695
Occupational_pollution	AAC(3)-IVa	A_FEV1_FVC_Post	-0.152818341047318	7.67083499461526	0.00570679411177
Occupational_pollution	Acinetobacter baumannii AbaQ	Dyspnea	0.0246376420863989	3.92865457491119	0.0477193641613771
Occupational_pollution	ANT(3'')-IIc	Allergic_rhinitis	0.0345241578758293	6.47345606497691	0.0110860513830725
Occupational_pollution	catB2	Allergic_rhinitis	0.0431752112957783	8.12783155045437	0.00444083366888989
Occupational_pollution	CfxA3	Rhinitis	0.0325837004911597	4.37982801688223	0.0365961668298975
Occupational_pollution	CfxA4	CAT_score	0.131325464361735	4.54499000888069	0.0332371035074066
Occupational_pollution	cmlv	Dyspnea	0.0255268344332225	4.30886354979819	0.0381470158503911
Occupational_pollution	cpaA	Chronic_Bronchitis	0.02767316228952	5.1856316356272	0.0229664116456372
Occupational_pollution	efpA	Dyspnea	0.0296665824031906	5.75999047734231	0.0165612010048868
Occupational_pollution	emrY	Rhinitis	0.034347713706663	4.54132362027779	0.0333080576187002
Occupational_pollution	ErmB	Wheeze	0.0352066305655793	5.75840384026381	0.0165760826215957
Occupational_pollution	ErmF	Wheeze	0.0399917152478421	7.44786011393936	0.00645284646619993
Occupational_pollution	farB	CAT_score	0.140380869956195	5.55758004005694	0.0185758640937592
Occupational_pollution	FosA8	Dyspnea	0.0250187909514716	4.09847345220644	0.0431640872164521
Occupational_pollution	Limosilactobacillus reuteri cat-TC	CAT_score	0.181806405763662	8.84706785878342	0.00299989014422751
Occupational_pollution	mdtB	Dyspnea	0.0265475596531026	4.5714951461467	0.0327288400007085
Occupational_pollution	MexA	Dyspnea	0.0340644742802795	7.61731138716602	0.00587743137281637
Occupational_pollution	Neisseria gonorrhoeae gyrA conferring resistance to fluoroquinolones	Allergic_rhinitis	0.0320211913004007	5.45628159457851	0.0196777014962285
Occupational_pollution	PDC-313	Dyspnea	0.0254059056578953	4.21999847104232	0.0401869395452757
Occupational_pollution	PmpM	Phlegm	0.0414996129119514	4.76491344041039	0.029257160063337
Occupational_pollution	pp-flo	Dyspnea	0.0262188903010189	4.48815231194741	0.0343550667239973
Occupational_pollution	Rhodococcus fascians cmr	Rhinitis	0.042291086573064	6.80581563577987	0.00920982294842893
Occupational_pollution	SAT-2	Dyspnea	0.0243195428115716	3.89733307111124	0.0486135959239452
Occupational_pollution	smeA	Cough	0.0321743804322731	5.1509396065396	0.0234274243091787
Occupational_pollution	tet(L)	CAT_score	0.133498992795118	4.96094784375927	0.0261284671586977
Occupational_pollution	tet(L)	Wheeze	0.0580597098721382	15.6660436983568	8.04346079421902e-05
Occupational_pollution	tet(X3)	Dyspnea	0.0274942145343667	4.96070925883008	0.0261320555237232
Occupational_pollution	tlrC	Dyspnea	0.0282187867435395	5.22935569192021	0.0223987550644189
Occupational_pollution	YajC	Dyspnea	0.0273747043838736	4.9462343076975	0.0263507239987671
SHS_binary	AAC(6')-Ig	CAT_score	0.165225973140943	7.36673569995382	0.00674840661362911
SHS_binary	BJP-1	Dyspnea	0.0346593311524429	6.79771634658387	0.00925143158649459
SHS_binary	catB2	CAT_score	0.221470912500347	8.58518007471427	0.00345933974753303
SHS_binary	Enterobacter cloacae acrA	Dyspnea	0.0301219766121083	5.0134647401587	0.025350944912028
SHS_binary	Erm(36)	CAT_score	0.141784337808643	5.05845031398898	0.0247040675416486
SHS_binary	LRA-1	Dyspnea	0.0321183544463854	5.83373820715028	0.0158845000510567
SHS_binary	MexD	Dyspnea	0.0272653802444508	4.26360963531327	0.0391718825130893
SHS_binary	oleC	A_FEV1_FVC_Post	-0.153853534871762	6.70121498489934	0.00976228950880219
SHS_binary	PC1 beta-lactamase (blaZ)	CAT_score	0.19538147512938	8.99283633437937	0.00277156711655367
SHS_binary	tet(V)	Dyspnea	0.0289448791729803	4.72474253385868	0.0299451517429593
SHS_binary	tet(X3)	Dyspnea	0.0343515703678622	6.58035588775815	0.0104431867804315
SHS_binary	tet(Z)	CAT_score	0.214693957077611	8.35436063605053	0.00392349531253291
SHS_binary	tlrB conferring tylosin resistance	COPD_diagnosis	0.0474953334342355	6.70356682394252	0.0097495014019153
Smoking_binary	AAC(3)-IVa	CAT_score	0.12238016730152	4.10225129336286	0.0430681224435042
Smoking_binary	AAC(6')-Iap	FEV1pred_post	-0.144420540228703	5.878049252209	0.0154916962203002
Smoking_binary	aad(6)	Dyspnea	0.0323695178572989	5.63856551063315	0.0177409855225473
Smoking_binary	acrD	FEV1pred_post	-0.118154546506237	3.91931010977692	0.047984315620058
Smoking_binary	adeI	FEV1pred_post	-0.155317229602201	6.73194917277036	0.0095965212976287
Smoking_binary	adeI	Wheeze	0.0366677110248489	5.86720479316708	0.0155868930724087
Smoking_binary	adeJ	FEV1pred_post	-0.156820274138703	6.61915457813609	0.0102194441372913
Smoking_binary	adeK	FEV1pred_post	-0.125708825186325	4.44979425407558	0.0351317404142777
Smoking_binary	ANT(3'')-IIc	Cough	0.0285774801634596	3.98906956837392	0.0460432313967359
Smoking_binary	APH(3')-IVa	Dyspnea	0.0282067456906084	4.55447520617135	0.0330542730277345
Smoking_binary	APH(3')-IVa	Phlegm	0.0451767453601012	4.96142902544414	0.0261212316498483
Smoking_binary	APH(6)-Ic	Allergic_rhinitis	0.0278856050877966	3.85766296828449	0.0497716844307875
Smoking_binary	bacA	Allergic_rhinitis	0.0295183969077507	4.14146032159785	0.0420852971600576
Smoking_binary	cfrA	Phlegm	0.0419582096750293	4.39249487263446	0.0363263746837305
Smoking_binary	dfrA20	Wheeze	0.0487274992602413	9.2735451438951	0.00238039627673235
Smoking_binary	dfrA26	Allergic_rhinitis	0.0331886023683205	5.14366025062311	0.023525371421496
Smoking_binary	dfrA26	Phlegm	0.0516597542017265	6.62636533912902	0.0101784068863977
Smoking_binary	dfrA3	Phlegm	0.0411648235305577	4.30828290420955	0.0381599859355241
Smoking_binary	emrK	Allergic_rhinitis	0.0343219830056434	5.74731989438031	0.0166804287748169
Smoking_binary	emrY	Phlegm	0.0402432781163301	3.87992581826821	0.0491182171517949
Smoking_binary	ErmF	Phlegm	0.0442677759570395	4.94107078056673	0.0264291878692181
Smoking_binary	ErmU	A_FEV1_FVC_Post	-0.119500595414764	4.8058862648606	0.0285723990067014
Smoking_binary	ErmX	CAT_score	0.150946990383898	5.85722233242602	0.0156750565774541
Smoking_binary	ErmX	Phlegm	0.0400073472795201	4.11327957746849	0.0427892650389167
Smoking_binary	Escherichia coli mdfA	FEV1pred_post	-0.131166820657749	4.11038877975293	0.0428621763807588
Smoking_binary	farB	Phlegm	0.0540100939179299	5.93087267018081	0.0150364960522429
Smoking_binary	lnuA	Dyspnea	0.0390034630366433	8.60043161755102	0.00343071542773686
Smoking_binary	macB	Allergic_rhinitis	0.0301678295650135	4.06745545283345	0.0439605760305389
Smoking_binary	mdsC	Dyspnea	0.0269443128203479	4.06463298323225	0.0440338169268233
Smoking_binary	MexD	Allergic_rhinitis	0.0299998774924512	4.39480904949399	0.0362773105829097
Smoking_binary	MexZ	A_FEV1_FVC_Post	-0.150117678472442	4.98018111256559	0.0258408750360301
Smoking_binary	OpmD	A_FEV1_FVC_Post	-0.160543732614934	7.03979724220456	0.0080870915334663
Smoking_binary	OXA-674	Dyspnea	0.0273462638590953	4.79806007074387	0.028701891705786
Smoking_binary	PmpM	Allergic_rhinitis	0.0334866380043583	5.31325578329443	0.0213499037408769
Smoking_binary	pp-flo	Allergic_rhinitis	0.027936674494263	3.91746189082056	0.0480369036085276
Smoking_binary	RbpA	CAT_score	0.146019740082103	5.51695976761015	0.0190098212424638
Smoking_binary	RbpA	Wheeze	0.031310523421228	4.14781600491863	0.0419282206212877
Smoking_binary	smeC	Allergic_rhinitis	0.0326847001293089	5.29055813325734	0.0216285239735699
Smoking_binary	sta	Phlegm	0.0404726351996319	4.37213120160609	0.0367611272038309
Smoking_binary	sul1	Cough	0.0513795612956056	10.8456105337796	0.00102194338998361
Smoking_binary	TEM-235	FEV1pred_post	-0.153254611793734	5.56626552325565	0.018484412382459
Smoking_binary	tet(30)	Dyspnea	0.0278199167277162	4.99752547171585	0.0255843515431747
Smoking_binary	tet(35)	Allergic_rhinitis	0.034641454196976	5.08839319567918	0.0242830309629401
Smoking_binary	tet(B)	Allergic_rhinitis	0.0306817507490535	3.99060253283438	0.0460015187461813
Smoking_binary	tet(C)	FEV1pred_post	-0.131427642768495	4.67353281893457	0.0308467647859914
Smoking_binary	tet(K)	A_FEV1_FVC_Post	-0.147532192241783	5.68971554309315	0.0172337584667511
Smoking_binary	tet(K)	COPD_diagnosis	0.0384034533546193	4.03791288556708	0.0447335891168566
Smoking_binary	tet(O/W/O)	Allergic_rhinitis	0.0301776617938739	4.39313587238418	0.0363127775435516
Smoking_binary	tetB(58)	Phlegm	0.0431273036367447	4.9542079323939	0.0262300344277364
Smoking_binary	vanB	Phlegm	0.0465680115167844	4.88843975471238	0.0272429727336952
Smoking_binary	vanF	Phlegm	0.04354484196177	5.0902837969333	0.024256698198742
Smoking_binary	vanN	Phlegm	0.0442736469398373	4.56445703970584	0.0328630052631957
Smoking_binary	vanW gene in vanB cluster	Dyspnea	0.0535749046397994	13.3607191597299	0.000269128527614913
Smoking_binary	vanX gene in vanA cluster	Cough	0.0341368769023547	5.30118039204279	0.021497666262252
Smoking_binary	vanZ gene in vanA cluster	Phlegm	0.0402318232909712	4.05264557886491	0.0443463168140297
Smoking_binary	vatB	Phlegm	0.0522060220535591	5.96049562130423	0.0147872836300354
SO2_M	APH(3')-IIIa	CAT_score	0.0877763165463501	7.62596977058933	0.00584947833726544
SO2_M	dfrA20	Dyspnea	0.0155770978873259	4.85091880701653	0.0278390279682565
SO2_M	Limosilactobacillus reuteri cat-TC	Chronic_Bronchitis	0.0178276915487602	9.51844121989101	0.00208515020029129
SO2_M	MexW	Dyspnea	0.0155155905808323	6.80960403657524	0.00919042666016806
SO2_M	TEM-116	Dyspnea	0.0199596156822822	5.85641626629222	0.015682198043322
SO2_M	tet(C)	COPD_diagnosis	0.0201159498857769	4.56872479608118	0.032781581847036
SO2_M	tetA(58)	Dyspnea	0.0135053788232731	4.47169667693985	0.0346860347169914
SO2_M	tlrC	Dyspnea	0.0154303627935419	5.22284853492226	0.0224823046051444
year2pm25	adeF	Cough	0.0155998550022004	4.18607106470781	0.0409957108100147
year2pm25	adeG	Cough	0.0161807124341881	5.16336839053787	0.0232611669108721
year2pm25	adeI	Asthma	0.0108946732670079	9.06878550087781	0.00265969017607966
year2pm25	ICR-Mc	COPD_diagnosis	0.0276403374544801	5.83026441634835	0.0159157254498434
year2pm25	ICR-Mc	Wheeze	0.0279420743624121	7.69994586267353	0.00561611996589398
year2pm25	iri	Cough	0.0156514179797768	4.47896195362954	0.0345395003588461
year2pm25	macA	Asthma	0.00741922227307018	4.48077740706126	0.0345029855474635
year2pm25	mdtB	Cough	0.0186196119538989	7.04477287487348	0.00806480250811798
year2pm25	mdtC	Cough	0.0159128626470895	4.9195925078524	0.0267581862537311
year2pm25	mel	Asthma	0.00816502417615187	6.4363080582297	0.0113188537330278
year2pm25	MexA	Asthma	0.0132684999857065	14.2159055452911	0.00017168704462621
year2pm25	MexH	Cough	0.0161199126135074	3.99611488520452	0.0458518543857534
year2pm25	opcM	Cough	0.0143914351384564	3.85203746505606	0.0499382575820349
year2pm25	otr(C)	Rhinitis	0.0144668663228569	5.39995688132013	0.0203194156633031
year2pm25	OXA-22	Cough	0.0170987185010228	5.08071564017677	0.0243902715201217
year2pm25	rosA	Cough	0.0143059484942302	3.98184365784729	0.0462403899137153
year2pm25	rosB	Cough	0.0140624853216144	4.04261886687171	0.0446094987930662
year2pm25	TEM-116	Rhinitis	0.0187179841011731	8.40343741862111	0.00381976195104572
year2pm25	tet(C)	Rhinitis	0.0187941434761357	4.28044230563917	0.0387873358939813
year2pm25	vanN	Rhinitis	0.0253892080362142	10.0931544208441	0.00152979050168074
