Y	X	lm.coef	lm.pval	lm.r2
aminocoumarin	NH4_M	0.00230100449464362	0.437981941620233	0.000546478381098767
phenicol	NH4_M	0.0126017313570683	0.00762100631892448	0.00645514280826401
tetracycline	NH4_M	0.00670468477574949	0.0288049862987491	0.00433336379296118
quinolone	NH4_M	0.00754429819155581	0.0405397258376505	0.00380478398568685
multidrug	NH4_M	-0.0016329265522794	0.429810048905521	0.00056625180168838
phosphonic acid	NH4_M	-0.00899719676587755	0.10209160624205	0.00242555042176849
beta_lactam	NH4_M	0.00476741022525203	0.0268994693591522	0.00444013657486746
diaminopyrimidine	NH4_M	0.0076180297304175	0.15258143082468	0.00185934379886276
aminoglycoside	NH4_M	0.0122711329470446	2.80768761016956e-05	0.0158152318694312
phosphonic acid	NO2_M_D10K	-0.0258732622035572	2.34186234120247e-06	0.0200524062286629
rifamycin	NO2_M_D10K	-0.00562416065819492	5.38222487048865e-05	0.0147098915289889
aminoglycoside	NO2_M_D10K	0.00661537492929221	0.0243654701604547	0.00459497773651164
aminocoumarin	NO2_M_D10K	-0.00636535151560854	0.0317762491527156	0.00418071997961638
multidrug	NO2_M_D10K	-0.00840305552224637	4.56171723428798e-05	0.0149905996472433
peptide	NO2_M_D10K	-0.00474633605323135	0.187116022102376	0.00158001326036169
tetracycline	NO2_M_D10K	-0.0117007712924331	0.000131771388896407	0.0131936709241909
quinolone	NO2_M_D10K	-0.00534197594125735	0.147229418043326	0.00190706024799384
diaminopyrimidine	NO2_M_D10K	-0.00258482258647755	0.62714188790921	0.000214580445927086
MLS	NO2_M_D10K	-0.00215072535882247	0.476483238269863	0.000460504098513892
beta_lactam	NO2_M_D10K	0.0125081312291763	5.10123186494048e-09	0.0305551474687995
phenicol	NO2_M_D10K	-0.00992296009036926	0.0357545340545661	0.00400176924420689
aminoglycoside	NO3_M	0.0100238542355498	0.000635455671867333	0.0105474602233672
quinolone	NO3_M	-0.00294434399366358	0.424576315762289	0.00057921737341709
tetracycline	NO3_M	-0.00723457794079143	0.0183378565018591	0.0050427448191533
multidrug	NO3_M	-0.00862901809226208	2.8260402245666e-05	0.0158041529540122
aminocoumarin	NO3_M	0.000353092421672272	0.905298583451056	1.28613635614157e-05
peptide	NO3_M	-0.00164802327140068	0.647075592684724	0.000190447102252185
phosphonic acid	NO3_M	-0.0275079531122399	5.09984197419065e-07	0.0226612880430738
beta_lactam	NO3_M	0.0144681705053758	1.22850648527567e-11	0.040872451592608
MLS	NO3_M	-0.00795461874631854	0.00836822178318389	0.00629805215061986
rifamycin	NO3_M	-0.00713561228046359	2.8248045478773e-07	0.0236733897431312
diaminopyrimidine	NO3_M	0.000462725907134586	0.930699261092534	6.8784902978591e-06
phenicol	NO3_M	-0.00709763418812344	0.133401087090937	0.00204653626930942
aminoglycoside	O3_M_D10K	0.0122831561805917	2.81858154279033e-05	0.0158086468026396
quinolone	O3_M_D10K	-0.00455044287418057	0.217505777353453	0.00138091883938789
aminocoumarin	O3_M_D10K	-0.00133228363645871	0.653790583809603	0.000182767910636063
multidrug	O3_M_D10K	-0.0124209823200526	1.4716299491196e-09	0.0326856171844487
peptide	O3_M_D10K	-0.00227130184783645	0.528418744052801	0.000361071936497808
tetracycline	O3_M_D10K	-0.00945385305281125	0.00205485639288428	0.00859517304944787
MLS	O3_M_D10K	-0.00383409307826629	0.204715537804792	0.00146045827918708
phosphonic acid	O3_M_D10K	-0.0270618486854612	7.9933801434788e-07	0.0218916905563173
beta_lactam	O3_M_D10K	0.0162953292967653	2.0540207271465e-14	0.0517518729122183
diaminopyrimidine	O3_M_D10K	0.00414085086387499	0.436760775377586	0.000549896916342865
phenicol	O3_M_D10K	-0.0076031297638849	0.108555520362422	0.00233934639373517
rifamycin	O3_M_D10K	-0.00832236305919373	2.0197854470361e-09	0.0321430891472101
aminocoumarin	Occupational_pollution	0.00405450175600269	0.494624404002575	0.000423763873071992
aminoglycoside	Occupational_pollution	-0.00277994668014296	0.636678405907335	0.000202716950756867
multidrug	Occupational_pollution	0.010705346782711	0.00958906716865608	0.0060783914735226
rifamycin	Occupational_pollution	0.00388808827700111	0.164261150766604	0.00175634130436621
beta_lactam	Occupational_pollution	-0.00502093606991269	0.244498448854919	0.00123001825434389
MLS	Occupational_pollution	0.000500686891265155	0.933982559042186	6.23503186819236e-06
phenicol	Occupational_pollution	0.00624004994552902	0.509791111271799	0.000395097729633702
phosphonic acid	Occupational_pollution	0.0189609341027317	0.0850928843587519	0.0026904580178663
peptide	Occupational_pollution	0.00923707985164403	0.199431294064823	0.0014950503077197
diaminopyrimidine	Occupational_pollution	0.00188646636992959	0.859383725348543	2.8544573137885e-05
quinolone	Occupational_pollution	0.00744579431979891	0.312732781212489	0.000925604113038416
tetracycline	Occupational_pollution	0.00413307237138478	0.501058377969946	0.000411268392714016
aminocoumarin	PM1_M	-0.00916636282489212	0.00196114339668564	0.0086723526479142
aminoglycoside	PM1_M	-0.00265058075497717	0.367426211385838	0.000737892527163638
beta_lactam	PM1_M	0.00321913222685228	0.135336328759397	0.00202448099334862
multidrug	PM1_M	-0.00292884864014507	0.156615908500951	0.00182169196262799
peptide	PM1_M	-0.0106153182064114	0.00312172870838787	0.00790580947360153
rifamycin	PM1_M	0.00115842551023002	0.407113351558677	0.000624261865061054
diaminopyrimidine	PM1_M	0.00500215690658515	0.347494022478424	0.000802394744883897
quinolone	PM1_M	-0.00833268857892638	0.0236520218861831	0.00464159673711712
MLS	PM1_M	0.00405748059095166	0.17901800413927	0.0016395060977378
phosphonic acid	PM1_M	-0.0117073547377098	0.0333252083053906	0.00410693865965745
tetracycline	PM1_M	-0.0107114287650218	0.000467830791878534	0.0110603283589757
phenicol	PM1_M	0.00679562270268722	0.150591895825282	0.00187749375518687
phosphonic acid	SHS_binary	-0.00214120733505654	0.855231120268855	3.02469640822899e-05
aminocoumarin	SHS_binary	-0.0179155301169198	0.00453414488393702	0.00729400159737392
diaminopyrimidine	SHS_binary	-0.0139161682563684	0.219857036847239	0.00136814362354771
beta_lactam	SHS_binary	-0.00111879592478614	0.807682054119477	5.38395608346885e-05
MLS	SHS_binary	0.00790776462838145	0.219148446864078	0.00137110680919993
rifamycin	SHS_binary	0.00375758229634945	0.206950413294201	0.00144614309110043
aminoglycoside	SHS_binary	-0.00846514327820652	0.176703981282415	0.00165707949343787
quinolone	SHS_binary	-0.00837266028675691	0.286486014861147	0.00103178148417865
phenicol	SHS_binary	-0.00194859733787832	0.846733196766589	3.39788306863981e-05
multidrug	SHS_binary	-0.00113469210874049	0.796872994844458	6.02006027510515e-05
peptide	SHS_binary	-0.0165884349903569	0.0303774093622489	0.0042506448938053
tetracycline	SHS_binary	-0.00808786115370775	0.216268641147489	0.00138836696575145
MLS	Smoking_binary	0.00121506059539632	0.848404769052688	3.32024766259202e-05
tetracycline	Smoking_binary	0.0131549636896956	0.0415433334446829	0.00376727212175567
peptide	Smoking_binary	0.0164962776669503	0.0292125026384342	0.00431148319237982
rifamycin	Smoking_binary	0.00930565436693887	0.00151763298475924	0.00909701450963778
multidrug	Smoking_binary	0.0190571173316533	1.09611111388502e-05	0.0174168644927759
aminocoumarin	Smoking_binary	-0.00319282215714608	0.609076344564207	0.000237611125446443
diaminopyrimidine	Smoking_binary	-0.0352605372858739	0.00159605553664242	0.00902162120025934
quinolone	Smoking_binary	0.0204907014163815	0.00816144125455476	0.00633848148024929
aminoglycoside	Smoking_binary	0.00160545333997903	0.795339461805059	6.11337278311089e-05
phosphonic acid	Smoking_binary	0.045484719343034	8.18492687316366e-05	0.0139992951844364
beta_lactam	Smoking_binary	-0.00639305612355133	0.158745215091679	0.00180313223726576
phenicol	Smoking_binary	0.0142686992366658	0.151557437997838	0.00186865174794576
quinolone	SO2_M	-0.000598153825344957	0.871184570636098	2.389241976339e-05
multidrug	SO2_M	0.00680656150363885	0.000977641701516342	0.00982819794651485
tetracycline	SO2_M	0.000247410083901663	0.935806796690085	5.89447688458027e-06
rifamycin	SO2_M	0.00645916049367308	3.45548905600294e-06	0.0193874189285729
beta_lactam	SO2_M	-0.0110490997089911	2.58609359742454e-07	0.0238246824480786
diaminopyrimidine	SO2_M	0.00201282537653931	0.705483587418993	0.000129896119661837
peptide	SO2_M	-0.00644475081765873	0.0732728917449652	0.00291091707232298
MLS	SO2_M	0.00935209624105906	0.00192779341558902	0.00870072279400875
phenicol	SO2_M	0.0123649826646787	0.00890368916645557	0.00620354476531632
aminoglycoside	SO2_M	-0.00915428080098283	0.00182413497044951	0.00879218372101695
aminocoumarin	SO2_M	-0.00665194421593291	0.0248799185458165	0.00456223132890301
phosphonic acid	SO2_M	0.011426015049406	0.0379132060543587	0.00390775661842179
rifamycin	SO4_M_D10K	-0.000324269996097539	0.816526584385355	4.89136810270127e-05
phenicol	SO4_M_D10K	0.0132110079269593	0.00513712703030195	0.00709659009274195
peptide	SO4_M_D10K	-0.00260098282427207	0.469803582372198	0.000474615057676364
quinolone	SO4_M_D10K	6.85981283082736e-05	0.985155553104845	3.14563168636449e-07
MLS	SO4_M_D10K	0.00834503557414403	0.00565057317481917	0.00693494072473639
tetracycline	SO4_M_D10K	-0.000224325945458838	0.941755007055287	4.85085687325863e-06
multidrug	SO4_M_D10K	-0.00118362564663642	0.567161919264279	0.00029750622242456
aminocoumarin	SO4_M_D10K	-0.00468466109226954	0.11416781532936	0.00226508984046878
phosphonic acid	SO4_M_D10K	-0.00328921749305577	0.550285278161616	0.000324169445179434
diaminopyrimidine	SO4_M_D10K	0.00798641784185707	0.133737665922689	0.00204299687584593
beta_lactam	SO4_M_D10K	1.01611752624482e-06	0.999624084540143	2.01701993738502e-10
aminoglycoside	SO4_M_D10K	0.00365586567089178	0.213746250759201	0.0014037110723676
aminoglycoside	year2pm10	-0.000473516233051282	0.872109169557436	2.35477017413783e-05
quinolone	year2pm10	-0.0107842761452182	0.00338243468665853	0.00777404150346793
rifamycin	year2pm10	-0.00145924156696213	0.296342475921514	0.000990495975308531
tetracycline	year2pm10	-0.015094285963303	7.67309210723393e-07	0.0219617078766998
multidrug	year2pm10	-0.00646138396810921	0.0017451968230134	0.00886543267046736
phosphonic acid	year2pm10	-0.0223234230262992	4.72461709591283e-05	0.0149310376240216
beta_lactam	year2pm10	0.00725633367333844	0.000743130035795339	0.0102858056231241
aminocoumarin	year2pm10	-0.0100793400784745	0.00065957599129723	0.0104851534408304
phenicol	year2pm10	-0.00311970140205998	0.509459726996603	0.000395716659000869
peptide	year2pm10	-0.0127891482209668	0.000365532656580215	0.0114744347774251
diaminopyrimidine	year2pm10	0.00137131107992256	0.79666773373332	6.03799207674001e-05
MLS	year2pm10	0.000798624889161253	0.791487061371329	6.35116750214957e-05
beta_lactam	year2pm25	0.0077094431206663	0.000337026224974451	0.0116108560124253
aminoglycoside	year2pm25	0.00291540760307728	0.321502592436631	0.000892671656347104
quinolone	year2pm25	-0.00641627940827103	0.0816004535121794	0.00275198327181901
aminocoumarin	year2pm25	-0.00842221479607032	0.00445953460338814	0.00732112157488782
rifamycin	year2pm25	-0.00254522450368643	0.0683870501616007	0.00301345646303473
multidrug	year2pm25	-0.00543313799000913	0.00852266730974169	0.00626851552931268
diaminopyrimidine	year2pm25	0.00188342477480314	0.72351793044578	0.00011381516916822
tetracycline	year2pm25	-0.0111094156510936	0.00028428904810544	0.0118970091185711
MLS	year2pm25	0.00242169374377351	0.422665684760661	0.000584010591953643
phosphonic acid	year2pm25	-0.0201535472124633	0.000241749294688992	0.0121698662385884
peptide	year2pm25	-0.00885889345469263	0.0137039216002834	0.00550581248748043
phenicol	year2pm25	0.000835865341514025	0.859716272597715	2.84083101632085e-05
total	A_FEV1_FVC_Post	-0.0110074755591849	5.59590344958156e-05	0.014457171071267
total	Allergic_rhinitis	-0.00709994374643824	0.512356680945956	0.000385011153542171
total	Asthma	-0.0305077891078592	0.18291728124927	0.0015899780130524
total	CAT_score	-0.00277378413926263	0.265465144597376	0.00111181868950198
total	Chronic_Bronchitis	0.00759811012149016	0.535207831356424	0.000344874026473123
total	COPD_diagnosis	0.0266123682045976	0.00274656286482896	0.00801307094114631
total	Cough	0.016471498449914	0.116258066880024	0.00221070966644802
total	Dyspnea	-0.00447406670887172	0.71169708312338	0.000122526958043972
total	FEV1pred_post	-0.00693707490786725	0.00643844092720822	0.00663706733436278
total	Phlegm	0.000352171290893902	0.964246545151326	1.802574550255e-06
total	Rhinitis	0.0104582067287965	0.275050548905375	0.00106822555227661
total	Tuberculosis	0.0157341875214874	0.396634252219196	0.000644370140267551
total	Wheeze	0.00347907548980201	0.73019815824797	0.000106687591922833
aminocoumarin	A_FEV1_FVC_Post	-0.00702330315920158	0.0325947124072085	0.00412687062669671
aminoglycoside	A_FEV1_FVC_Post	-0.00816588321802416	0.0120604785141501	0.00567691697634843
MLS	A_FEV1_FVC_Post	-0.0120577615693327	0.000301123461262345	0.0117362323757804
beta_lactam	A_FEV1_FVC_Post	0.000119127907873585	0.960209850756215	2.24728567609078e-06
multidrug	A_FEV1_FVC_Post	-0.0086622405945675	0.00013131088470051	0.0129162591999187
diaminopyrimidine	A_FEV1_FVC_Post	-0.00410069815023077	0.487127504237235	0.000438150594138625
phenicol	A_FEV1_FVC_Post	-0.00686652041151438	0.19032413482365	0.0015536864926384
quinolone	A_FEV1_FVC_Post	-0.010579152012338	0.00951181959977672	0.00606448604736924
peptide	A_FEV1_FVC_Post	-0.0143099733145821	0.000311642553014581	0.0116453659145597
rifamycin	A_FEV1_FVC_Post	0.00114120124457084	0.459104220566155	0.000491077725034064
tetracycline	A_FEV1_FVC_Post	-0.0115439549703726	0.000664170152476839	0.0104130425429342
phosphonic acid	A_FEV1_FVC_Post	-0.0209071845341729	0.000516754128791673	0.0106166364933441
MLS	Allergic_rhinitis	0.0117254894065591	0.375207418332542	0.000710416285310477
aminoglycoside	Allergic_rhinitis	-0.00808989139154966	0.529756392602774	0.000356654108073087
aminocoumarin	Allergic_rhinitis	0.00307893243851178	0.81282402836052	5.07684585919124e-05
multidrug	Allergic_rhinitis	-0.00765385569040435	0.394125487666604	0.000645494344587438
peptide	Allergic_rhinitis	-0.00882866494151685	0.574688351956013	0.00028374041315099
diaminopyrimidine	Allergic_rhinitis	-0.00145533276326133	0.950252810183205	3.53275054300849e-06
phenicol	Allergic_rhinitis	-0.0113030685239795	0.585547776051511	0.00026953964489134
quinolone	Allergic_rhinitis	-0.015466885121979	0.338109956071032	0.000829762189054972
phosphonic acid	Allergic_rhinitis	-0.0200080395832926	0.401770272927488	0.00062238705831625
beta_lactam	Allergic_rhinitis	-0.00161432065070441	0.86418466295422	2.64159658157955e-05
tetracycline	Allergic_rhinitis	0.00112122571163375	0.933512155027972	6.28796515409445e-06
rifamycin	Allergic_rhinitis	-0.0038148671357391	0.531242817651064	0.000351269328831259
quinolone	Asthma	-0.0309285377149138	0.364996701090151	0.000742117798943633
rifamycin	Asthma	-0.00610420987207364	0.635648681109285	0.00020116224004935
phosphonic acid	Asthma	-0.0395242841637229	0.433440488575076	0.000543232389124716
diaminopyrimidine	Asthma	-0.0363050213766383	0.461642976262365	0.000491713157819086
tetracycline	Asthma	-0.0519691242056648	0.067224299192893	0.00302148872530281
peptide	Asthma	-0.0461206047623781	0.165468509829825	0.00173191775918962
aminocoumarin	Asthma	-0.0277405616074982	0.312890674475188	0.000921786428647403
phenicol	Asthma	-0.00813618249166222	0.852738679274312	3.12376950905814e-05
beta_lactam	Asthma	-0.0272148262768487	0.172460719491586	0.00167920676081545
multidrug	Asthma	-0.0329314699556759	0.0827540414431972	0.00267276199957744
aminoglycoside	Asthma	-0.0531072511896067	0.0508884429016248	0.00343776073435697
MLS	Asthma	0.0570400165267365	0.0411808105278382	0.00376024713257676
MLS	CAT_score	0.00514688563985023	0.0902834635743767	0.00258979353433393
phenicol	CAT_score	-0.00244760943037804	0.607514051520396	0.000239140033053122
multidrug	CAT_score	-0.00160907352129809	0.435842413942797	0.000539770111304422
quinolone	CAT_score	-0.00403003643787562	0.277603146802053	0.00106583755984652
aminocoumarin	CAT_score	-0.00356404974172974	0.233026420173178	0.00128708232520743
diaminopyrimidine	CAT_score	-0.0058689760853596	0.273657555707169	0.00108699915885143
tetracycline	CAT_score	-0.00217724686012654	0.480969556485694	0.000448605433356897
beta_lactam	CAT_score	-0.00214652785340782	0.322407574566425	0.000883659802527526
aminoglycoside	CAT_score	-0.00534473672430766	0.0707669069945154	0.0029453684920842
phosphonic acid	CAT_score	-0.000343729696118747	0.950048754732343	3.47544755809753e-06
peptide	CAT_score	-0.00440806280277306	0.222828956239504	0.00133829491276463
rifamycin	CAT_score	0.000577251510792963	0.680284033142502	0.000152172686314012
aminoglycoside	Chronic_Bronchitis	-0.00728123965529478	0.616959828068676	0.000225973922753484
diaminopyrimidine	Chronic_Bronchitis	0.00621308937592426	0.81378132369547	5.03560055116637e-05
phenicol	Chronic_Bronchitis	0.0323541844843318	0.167308402753947	0.00172727463135662
peptide	Chronic_Bronchitis	0.00867284390101133	0.625892920107051	0.000214160815028503
tetracycline	Chronic_Bronchitis	0.00660102515387327	0.6640015118282	0.000170463982276901
MLS	Chronic_Bronchitis	0.0172504817096842	0.248535007999614	0.00120264992937466
aminocoumarin	Chronic_Bronchitis	-0.0172872941850278	0.2395441324661	0.00125179591362307
multidrug	Chronic_Bronchitis	0.00724171094332209	0.475831816530179	0.000451960102928622
quinolone	Chronic_Bronchitis	0.0136946208868808	0.453237274332449	0.000508784385051133
beta_lactam	Chronic_Bronchitis	-0.0028432564379032	0.789902140106999	6.40921405546252e-05
phosphonic acid	Chronic_Bronchitis	0.0290899905260412	0.28093077435851	0.00102902153168155
rifamycin	Chronic_Bronchitis	0.00337990014199362	0.62372899483258	0.000215662661589965
diaminopyrimidine	COPD_diagnosis	-0.0123881183135197	0.518037999983449	0.000379120022308675
phenicol	COPD_diagnosis	0.0172051207410357	0.312286946033181	0.00092518036445798
aminoglycoside	COPD_diagnosis	0.0215612846040662	0.0413365210166546	0.00375300858442294
tetracycline	COPD_diagnosis	0.0309187897806492	0.00503026023341889	0.00708332954817529
multidrug	COPD_diagnosis	0.0235775884798984	0.0013649555478243	0.00907400708571466
aminocoumarin	COPD_diagnosis	0.022399128643241	0.0358441891668094	0.00398037832198246
peptide	COPD_diagnosis	0.0338305623129678	0.00876467857980342	0.00617188754464322
beta_lactam	COPD_diagnosis	-0.00383231598213778	0.621127447212406	0.000220535218764653
MLS	COPD_diagnosis	0.0221891795403441	0.0409508645687107	0.00376878952847552
phosphonic acid	COPD_diagnosis	0.0711008015548592	0.000275985037361326	0.0116431077387011
rifamycin	COPD_diagnosis	-0.00283815847811603	0.570756739257718	0.000288020318416692
quinolone	COPD_diagnosis	0.0341735615332127	0.00989838404821398	0.00600063003971921
diaminopyrimidine	Cough	0.00261208912458582	0.908609953112705	1.19595381779629e-05
aminocoumarin	Cough	0.0158680033975559	0.207347646929708	0.00143860055753256
tetracycline	Cough	0.0181024076133657	0.163969237169743	0.00174863313843901
MLS	Cough	0.0359592261948853	0.00490102762664143	0.00712809734059891
phosphonic acid	Cough	0.0211791608108356	0.359271227234492	0.000743996630862869
phenicol	Cough	0.010022013457901	0.617501350106038	0.00022607385596507
multidrug	Cough	0.0101307756879009	0.243941969682692	0.00120647769380411
peptide	Cough	0.0249870138379986	0.100731623348026	0.00242472135008163
aminoglycoside	Cough	0.00330594679919823	0.790846239250036	6.35412222782187e-05
beta_lactam	Cough	-0.0049281920005918	0.589622744577452	0.000262641967674868
rifamycin	Cough	-0.0046232857471263	0.433168420880271	0.000550408161480984
quinolone	Cough	0.02045774853375	0.190566914187388	0.00154869390219827
tetracycline	Dyspnea	-0.0121367581034224	0.418769617082939	0.000590462971359408
peptide	Dyspnea	-0.00420826772895162	0.810762448871005	5.16655546037217e-05
rifamycin	Dyspnea	-0.00187521363236233	0.78293178700192	6.80214907889769e-05
phenicol	Dyspnea	-0.0304825717676607	0.187860762808973	0.00157107321513496
quinolone	Dyspnea	-0.00748099733707793	0.678359054459263	0.000155571545832259
beta_lactam	Dyspnea	5.71644221214131e-05	0.995673615913032	2.65461638348369e-08
phosphonic acid	Dyspnea	-0.000432362271825006	0.987060702746467	2.3292188907828e-07
aminoglycoside	Dyspnea	-0.011700257888939	0.415851832842158	0.000597882666383972
multidrug	Dyspnea	-0.00448196274111075	0.655112100974479	0.000177391020431301
aminocoumarin	Dyspnea	-0.00923170835548753	0.5250207361061	0.000365780927640993
diaminopyrimidine	Dyspnea	0.0124909259533261	0.631659630665912	0.000208559443584715
MLS	Dyspnea	0.0087587026425851	0.553227332698484	0.000317682843654559
aminocoumarin	FEV1pred_post	-0.00467662665382344	0.126234833668123	0.00211504211940915
multidrug	FEV1pred_post	-0.00570425990736815	0.00687496215772203	0.00647426502382855
MLS	FEV1pred_post	-0.00505973781412	0.103792668601706	0.00238872930464621
beta_lactam	FEV1pred_post	-0.000160280616277879	0.942468670618681	4.70228401211643e-06
diaminopyrimidine	FEV1pred_post	-0.00776398848680709	0.158639487434887	0.00180189696850458
phosphonic acid	FEV1pred_post	-0.0174192268926599	0.00188160902841172	0.00851861890635193
rifamycin	FEV1pred_post	-0.000289297275613209	0.840113180743354	3.64779181637534e-05
aminoglycoside	FEV1pred_post	-0.0048243932765719	0.111121401064064	0.00229037827472903
tetracycline	FEV1pred_post	-0.00808031144604293	0.0105067715186333	0.00589712305989626
phenicol	FEV1pred_post	-0.000363404250720712	0.940674894274005	5.02121928650217e-06
quinolone	FEV1pred_post	-0.00619457199408898	0.102906269484257	0.00240342453657652
peptide	FEV1pred_post	-0.00805230415572278	0.0294726627790908	0.0042621764819249
tetracycline	Phlegm	-0.00132312106077064	0.891973318004014	1.666268697177e-05
phenicol	Phlegm	-0.0109609929281067	0.465701774714936	0.000482331439547885
diaminopyrimidine	Phlegm	-0.00142296585303209	0.933192065766151	6.37800464203375e-06
aminocoumarin	Phlegm	-0.00145436665129514	0.877381965120652	2.15557588191199e-05
beta_lactam	Phlegm	-0.00464400728167857	0.497227680556464	0.000416001133955381
phosphonic acid	Phlegm	-0.00964159299108201	0.577312283170482	0.000275024198373303
MLS	Phlegm	0.00907361465242833	0.343830011204375	0.000809530945504315
multidrug	Phlegm	0.000341709087135455	0.958151742758361	2.44831221973829e-06
aminoglycoside	Phlegm	-0.00431907000126266	0.643532048238744	0.000193447969480759
peptide	Phlegm	0.00281387755494255	0.805134410598359	5.48483236204704e-05
rifamycin	Phlegm	0.00051479555200924	0.907223640041685	1.21723045521209e-05
quinolone	Phlegm	0.00220419946109913	0.850660366551	3.20679757168764e-05
quinolone	Rhinitis	0.00669722050984754	0.63909629130092	0.000198940012251144
peptide	Rhinitis	0.0202468599785481	0.145430500083191	0.00190823346328827
rifamycin	Rhinitis	-0.0075258643973067	0.162338095429504	0.00174815202202721
multidrug	Rhinitis	-0.00212143053691137	0.789428459100846	6.34124534686399e-05
phenicol	Rhinitis	-0.0252679321333726	0.170365079049725	0.00170268623033177
MLS	Rhinitis	0.0139967164262048	0.231237507448292	0.00129445900508989
phosphonic acid	Rhinitis	0.00121206402014088	0.954203739539725	2.9207044933352e-06
tetracycline	Rhinitis	0.0174248929827494	0.142415232615635	0.00194200029177888
aminocoumarin	Rhinitis	0.00924886198319781	0.421144389574815	0.000585807973852888
diaminopyrimidine	Rhinitis	0.0212426382105509	0.303006010860242	0.000962420679213198
