ARGsubtype	ARGtype	B146	B147	B149	B150	B151	B152	B153	B155	B156	B157	B158	B159	B182	B184	B187	B192	B193	B194	B195	B196	B197	B198	B199	B200
APH(3')-Ia	aminoglycoside	0	0	0	0	0	0	1.9153744827538	0	0	0	0	2.21265264000188	2.55117937599392	0	0	0	0	0	10.2533619782896	5.6894587792614	1.84447164231725	0	0	0
APH(6)-Ic	aminoglycoside	0	2.78170166375657	0	0	8.66443095735656	0	3.88806430639522	0	0	0	0	0	0	0	2.43890159298122	4.2521419914566	2.74584780122576	1.9593579893355	0	2.30958227672988	0	0	0	0
APH(6)-Id	aminoglycoside	2.27625027821611	0	0	0	0	0	0	2.99595110630336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.46735448436316	0
AcrE	multidrug	0	0	0	0.967826428190573	0	0	4.03916838691715	0	1.78085294999601	0	0	1.16651817636661	1.79299569562148	0	7.60105808715778	0	2.85256126442001	6.32708256647391	10.8102360217201	2.39934090179711	0	0	0	0
ArnT	peptide	0	0	0	0	0	0	0	0	0	5.63065595222391	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AxyY	multidrug	0	0	0	0	0	0	0	0	0	2.66319069502849	8.54527225856197	0	0	0	0	0	0	0	6.28179951829744	0	0	0	0	0
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	multidrug	0	0	0	1.83577396802298	0	0	7.66254002812224	0	0	0	0	0	0	1.61326742705806	0	1.67569403522668	2.7053702807038	0	0	0	0	3.22369745215791	0	5.21865471257615
Bifidobacterium bifidum ileS conferring resistance to mupirocin	mupirocin	0.766179714209828	1.38376796781887	0	3.39937796526998	0.526069912957696	2.23839962262149	1.93413223068066	2.85045690073049	1.13715455398352	1.46343451985212	0.856880532650228	2.96745851882733	1.42847541488109	0.814533281996671	4.03324117627825	4.23117302365997	1.8178086488951	1.94990517673619	5.75281566068145	4.55230985340968	1.24185726733819	0.847353590449344	3.377430444292	4.39181767461189
CARB-54	beta_lactam	0	0	0	2.52643648101966	0	0	5.28968491537447	3.90067915926706	2.33220061253347	0	0	0	0	0	0	0	0	1.33284657650322	0	0	0	0	0	0
CAU-1	beta_lactam	0.850382090882585	0	0	0	0	0	0	0	0	0	0	0	0	1.20556192114486	0	0	0	2.88573362406824	7.66236371611774	0	0	0	0	0
CfxA3	beta_lactam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia trachomatis intrinsic murA conferring resistance to fosfomycin	phosphonic acid	0.366837560136827	5.5581843750483	0	25.6424064026323	4.02753686188453	4.73297847453066	4.14025180630078	7.29571472381432	4.10983736783134	2.1894367782867	8.91072696069389	2.85971509593279	3.29363502394864	6.7190218466428	6.72904127530119	7.89299298692872	0.8721065785185	0	22.5454965396228	16.4598747623284	2.98095920212372	0.775939673588136	2.02238073925214	0
EC-5	beta_lactam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76332760206973	0	0	0	0
EdeQ	multidrug	0	0	0	1.55111913620223	2.63969814159387	0	0	3.18191729159545	0	0	0	1.86955905871758	0	0	0	1.41586117339882	0	0	0	10.0925836075593	0	0	0	0
Enterobacter cloacae acrA	multidrug	0	0	0	0	0	0	0	0	0	2.59303412499518	0	0	1.52145584182122	0	0	0	7.60315026386045	1.7272389243968	7.64562960462901	0	0	0	2.3951832373609	3.65866517657148
EreA2	MLS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.86890625289781	0	0	0	0
Erm(41)	MLS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ErmB	MLS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.62052843739591	0	0	0	0	0
ErmC	MLS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia coli acrA	multidrug	0.629350852116598	3.03072025279294	0	3.0453073060403	0	0	0	1.04151309834383	1.86769020684566	0	1.40713903301932	0	0	0	0	0	0	0	0	0	0	0	0	0
FosA	phosphonic acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FosA2	phosphonic acid	0	0	0	1.9815971450259	0	0	0	0	0	0	5.493587065949	0	0	0	0	0	0	0	0	0	0	0	0	0
FosM3	phosphonic acid	0	4.93787459637088	0	3.30748938798048	2.81392161842154	0	0	1.69623702342175	0	2.61037619848656	4.5841032049616	0	0	2.9066023311767	0	0	0	0	0	2.04959177653514	0	0	1.20541901488098	0
GOB-1	beta_lactam	0	0	0	0	0	0	3.04709194100767	2.99595110630336	0	0	0	0	1.35261078792497	0	0	0	0	0	0	0	0	0	0	4.15050901117168
Klebsiella pneumoniae KpnF	multidrug	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella pneumoniae KpnH	multidrug	0	0	0	0	0	0	0	0	0	0	0	3.85829799303918	6.60854915058009	0	0	0	0	0	0	0	0	0	0	0
LptD	multidrug	0	0	0	0	0	0	0	0	0	0	2.68276974519571	0	0	0	0	0	0	0	0	0	0	0	0	3.7353161637819
MAB	beta_lactam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mef(En2)	MLS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MexA	multidrug	0	0	0.936133585929751	1.4602293477963	0	2.24608115873207	3.04709194100767	0	0.671725235524809	1.15245961110897	0	1.76000988013207	2.02891618188746	0	2.02511850309725	3.33224249116078	0	0	9.51427205420394	6.33510185474499	0	0	0	0
MexB	multidrug	0	0	0	0	2.15187240647639	4.00092808319288	11.8632334666318	0	1.74455589554562	0	0	12.5445847851684	0.585637912966148	0	0	2.39957927133657	4.18169584737732	4.92123927045377	11.124465448564	20.9756621407108	6.91877570073791	2.3177478273609	0	0
MexD	multidrug	0	9.31955797291801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.60188065940097	0	0	0	0	0
MexE	multidrug	0.408319613350611	12.9668601811992	1.68945859540058	3.27452935482228	0	0	9.4768310914924	4.14043721633785	9.03888547091626	1.51743143049573	13.8575162715591	6.0829890043142	8.14804597076282	7.89956846764013	7.52523053830069	4.09396303872982	5.9421000126231	6.02931896959553	26.5337931111036	7.60781725569826	0	2.3511658781998	2.49712142043752	8.32727808277655
MexF	multidrug	3.29317971707642	8.00512751641765	20.4857659927794	16.0460428091802	11.2021446247098	1.94726940403071	28.5378292765031	2.58713288078522	9.7377186331825	9.24096034270207	6.3359324684008	6.50011856892826	10.3282288173738	2.10260180713688	20.982005717371	4.42262881658576	11.7730708325405	8.75487993573096	16.0219820775993	24.1246423180694	3.17915460438577	2.98244659199216	3.06397053133141	11.6530792500731
MexG	multidrug	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95909297997475	0	2.03490157052554	0	0	0	0	0	0	0	0
MexI	multidrug	0	0	0	3.46779500379532	0	2.66702933759157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MexJ	multidrug	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MexK	multidrug	0	2.04657493085279	0	3.83235294630261	1.52296814865944	1.63808757558007	10.2719511841699	3.8018045759024	1.23501876408392	0.706295356739833	0	0	3.64936611010264	0	3.51421467806675	1.96242187748935	0	1.88216001977444	16.1716594081373	5.32918622899156	0	0.820344480867221	0	3.99507784266166
MexV	multidrug	1.97163579789996	10.3797508879172	8.83660160918162	11.1025372298931	5.83096231470558	0.482400467744097	9.88429106034808	9.15332736257218	6.06068918044306	4.6863012230115	3.81650990067315	0	5.14121624384342	5.76975703578138	3.41093232703726	5.11323721249665	7.68704912457868	3.80528222747925	15.8258211040369	10.4732839828445	5.43908395068525	3.8041644174144	0.986615986205812	0
MexW	multidrug	2.9963044257927	7.22526690524387	0.671685452558351	10.7060180431112	9.84830072916604	1.37499496379289	10.3271823308434	6.71373790152283	2.46865915901149	4.65004052389316	16.1125378994868	8.33055292100816	5.31052388692842	9.10908017301881	9.16663549675039	10.8286484784575	13.7189356372687	8.69238634132438	14.6628003555701	10.4404756578199	6.06728811177916	2.22024036395425	3.7535095268568	4.78075046156847
MuxB	multidrug	0.588487934025407	4.51066605889232	0.174484543205101	11.6204092660301	5.70008223943016	0.182436482626151	17.0893504584764	14.2942933939939	3.34392357328971	2.50119996309764	8.11544769412272	5.23909917806756	2.71123523530379	0.717105270895776	22.3959280292495	3.72791779654075	8.29936361683808	2.46508346339878	18.9392955138013	7.10021675531806	1.0235914445939	5.52038732967512	0.396466719180122	5.16542486034669
MuxC	multidrug	2.83130491562145	5.03778025784056	0	3.0453073060403	0	0	0	0	3.10454679647137	0	0	0	0	1.97708644148438	0	0	0	0	15.4009606067952	0	0	0	0	0
OXA-297	beta_lactam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OXA-395	beta_lactam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.05277199673622	0	0	0	0	0
OXA-444	beta_lactam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.4511086204762	0	0	0	0	0
OXA-60	beta_lactam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.99982996497561	0	0	0	0	0	0	0
OXA-899	beta_lactam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OXA-907	beta_lactam	0	0	0	0	0	0	9.14127582302302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OpmB	multidrug	0	4.74850117836118	0	5.56125650378236	2.70683792046892	0	0	0	1.46336858765152	0	9.91918813684202	0	0	0	1.04066773948703	2.5358775620147	0	3.34472019139047	2.96100806064487	0	0	0	0.57959138377847	2.2526873463507
OpmD	multidrug	0	2.25235077089482	0	1.50867060865001	0	3.54733337586344	0	1.54766899660439	0.694238598411756	0	0	0	1.39748193923439	0	0	2.68083694808708	1.11202788197591	1.58649704791813	1.4047356921929	0.935346775700575	0	1.38295796690841	2.7497824884917	2.1440984478026
OprA	multidrug	0	1.25553085011151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OprM	multidrug	1.15499657119873	0	0.645432732296299	1.00677919465025	0	0	4.93849819029937	9.78858375310162	2.640495847169	0	3.469051074025	0	2.19221016551862	0	0.658915252137517	0.459493903021897	0	3.01807300045863	5.34282992920755	6.24039102967405	2.88361766278488	0	0	0
OprN	multidrug	0	0	0	3.56068236996841	3.57030646903923	6.78394861605413	3.92557980224894	0	1.91041965069231	0.535633588063299	0	0.625995306202925	1.78790721454515	1.65627618871521	8.62799842555861	0.619496244252736	3.74233076098445	1.68522642395541	11.3996486152676	3.61262990270586	1.20372346842195	4.57506849430078	3.64975101908239	0
PDC-41	beta_lactam	0	0	0	8.80332521988824	4.08617793457286	0	0	1.6419328481023	0.736508585872961	2.52642479726692	2.48481511487425	4.82317345058081	0	0	4.19012576012052	0	0	2.52495127652777	1.49026559535753	0	0	0.733823773900756	0	0
PmpM	multidrug	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PmrF	peptide	1.0785333835584	6.4901401723401	0.717787790579515	25.4796038146085	12.0630635614241	1.09423481895138	7.91368543092075	7.20298778293865	4.28948481454146	2.05976536513525	1.2493290480078	15.8810193835173	2.92818956483074	0	11.7754953888941	4.71528267148661	9.52767237594979	4.52474629753812	19.488732174348	4.39136335328913	4.46516679678487	0	2.08936868813105	2.05112363924182
RlmA(II)	MLS	5.81336923359449	7.00085194925601	0	1.83577396802298	3.99014255466298	0.234286851372531	0	1.88322781579534	2.53390196574509	1.448851412598	2.5443399337821	1.10632632000094	0	9.61465255494777	0	3.35184391757937	17.5871146893305	0.965237197641023	3.41747743514302	9.73354910729043	0	1.68280486142182	4.01527221839996	0
SAT-2	nucleoside	0	0	0	0	0	0	0	1.26795126335513	2.33220061253347	0	0	4.45961463813219	0	6.62773794435007	0	0	0	0	11.5642007115735	0	6.20978809720301	0	0	0
SRT-3	beta_lactam	0	0	0	0	0	0	0	0	0.863778004642026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces lividans cmlR	phenicol	0	0	0	1.85624914013641	3.15896908960219	0	9.68525051290196	3.80897682547289	1.70779938470979	0	0	2.2373313011118	0	0.815849876741278	4.86015367028019	1.69438376739325	0	0	8.640379565348	2.30091592672339	0	0.851015842596073	0	0
TEM-116	beta_lactam	1.0785333835584	1.29877359910585	0	49.4869928148176	1.48047461772586	1.33812359046213	0	0	3.20195155018632	0	0	3.1456264136697	8.05922884652151	1.52900536340323	0	0.794085693516017	0	0	301.230740908643	2396.77009097018	0	7.96997623431825	1.26840224942474	92.0095739070274
TolC	multidrug	2.73131459332255	0	0.604132721152339	4.89356613510806	3.20741171486647	1.85240243306511	3.93287448199828	0.576853786883991	2.51184805924359	1.77559184269696	2.61217054137477	1.13582032962012	5.14399177897596	4.47861645623708	9.22415984415922	7.21423661629419	4.14416214652968	2.67934721564989	9.45012462683048	2.21115730165616	2.83996449823603	0.863833725109623	2.81058133339811	0.799157514804943
YajC	multidrug	0	0	1.41668642877536	0	0	0	0	0	0	0	0	0	0	0	2.89255951459178	0	0	0	0	8.21693785615449	0	0	0	0
YojI	peptide	0	0	0	0	0	0	0	0	0	0	0	0	1.64034126333172	0	1.54531315084632	0	4.27884189663001	1.24146938804319	5.49436660546661	4.3901253032882	1.18616185049999	2.16439101871664	0	0
aadA27	aminoglycoside	0	0	0	0	0	0	0	0	0	0	0	8.36004693062734	0	0	0	0	0	0	0	0	0	0	0	0
abeS	multidrug	0	0	1.455105043793	4.42862990980082	0	0	0	2.41653580171562	0	1.79135736405276	6.52973420437985	0	0	3.09048673050677	0	0	6.69056616481999	3.80528222747925	0	0	0	0	0	0
acrB	multidrug	0	0	1.41668642877536	0	0	0	0	0	0	0	0	0	1.82121363613564	0	0	0	2.89745451445345	4.13508035594419	0	0	0	0	0	0
acrD	aminoglycoside	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.9635213289592	0	0	0	0	0
adeG	multidrug	1.32092478405387	7.24763384437887	0.432529574073561	20.6199965015422	10.4806044694577	1.58700536044475	13.176275821512	6.9760373143866	10.9194404565545	3.02343285800851	7.22603615579029	10.3174860996388	1.93408539819231	3.78345443108475	10.2661349551783	3.94945949978345	10.233453142869	16.0109639182152	12.7699864116226	13.1029021848141	0.698952393293778	2.32781902076441	1.95575685531278	13.5466425267158
adeH	multidrug	0	0.905115470329797	0	7.27268125579944	0	0	6.31510846870948	2.48672138679831	3.20424883211356	0	2.52011471678472	1.46085635399471	1.12270396111283	2.13025029677362	0	1.6597393858162	0.410662844568205	0.637539694198151	4.51263206479441	0	0	1.11103574501381	2.15599257207041	4.30664991104476
adeJ	multidrug	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
adeK	multidrug	0	0	0	1.02325921122935	0	0	0	0.581464518750737	0	0	0	0	0	0.248836406730664	0	0	0	0	0	0	0	0	0.860649517118281	0
amrB	multidrug	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.26918946517626	0	0	0	0	0	0	0
arnA	peptide	0	9.81013950461241	0	2.19034402169445	0	0	0	0	0	0	0	0	2.02891618188746	0	0	0	0	0	4.0775451660874	0	0	2.00782973944399	0	0
bacA	peptide	0	0	0	9.18935712339253	0	2.686233177868	8.38992380884158	2.86019066800473	0	0	7.57072638621018	10.0899608825766	1.72592026325174	3.27524885966657	4.86015367028019	3.2998773452138	1.37329187807217	1.95200580175826	9.26604940045444	13.3040853099648	3.7446387014727	1.7015739036738	0	0
bcr-1	bicyclomycin	0.881957982134868	16.9146249385273	0	13.8412163486738	4.51451272638333	2.96007994021	21.640188524954	5.49548008162041	6.83762992823544	6.19033196035481	10.6293330693938	8.30286466707996	2.24540792222566	4.71340918569194	4.28687125348991	6.96534408549066	2.71935342415684	5.70949880998542	34.0148706194268	9.93720833244297	5.71906631641241	2.13463522002447	7.43529826062041	6.3222869821336
bcrA	peptide	18.2062874149933	75.6181478276189	8.17163941425135	129.64779103331	70.3998825682774	21.7402835001488	214.768919082796	71.7066142951735	47.1007118978046	27.1222146644502	72.4285537787705	72.9320646840228	57.0446484007374	55.5664423312104	91.5003187829375	49.3718905243012	89.1167810909749	55.8887041809307	110.107664577267	79.0631111092183	28.7910181817638	24.5361738200454	17.304370642195	50.0083815725321
carA	MLS	0	4.29445231392062	0	4.70329685278576	0	0	7.27279571008638	1.8745186556026	1.12061412410739	0.961302664669895	12.5888070499534	4.52823335438905	3.79276875861726	0.922055186139551	2.66899898261655	2.62567944583941	7.82908842386482	6.96252163564999	16.874492090664	3.25111930243509	1.05419883582931	0.961798970034615	1.20578307982054	0
catA1	phenicol	0	14.2462490997214	0	0	0	0	0	0	0	0	0	0	0	0	6.80944462452035	0	0	0	5.92108644842925	0	0	0	0	0
catB2	phenicol	0	0	0	1.89170614550355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
catB9	phenicol	0	0	0	0	0	0	0	0	0	0	0	3.45922598533482	0	2.52215666575155	0	0	0	0	5.34282992920755	10.6726100329938	0	0	0	0
cdeA	quinolone	0	0	0.717787790579515	4.87858430185434	1.90540992706164	0.430550098997717	1.16819085700055	3.34636672817605	1.24512680456377	0	3.32439192109778	4.33020214694601	1.55568744178922	1.96787027827213	0.214408931251097	2.55502314130728	7.76947607545975	1.76610048730509	8.33079850280648	3.46963512759876	1.68742060204377	0	1.61098735755008	1.92337199389112
ceoA	multidrug	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ceoB	multidrug	0	0	0	6.84120445809218	0	0	0	0	0	0	0	0	0	0	0	0	5.11047095462655	0	0	5.86711895439447	0	0	0	0
cfrC	multidrug	0	0	0	8.57809832664059	0	0	4.2017355356166	4.13172805614511	0	0	0	2.42693564866365	0	0	0	1.83797561208759	0	0	1.87422048673785	2.48786147686341	0	0	1.46790983630326	0
cfrE	multidrug	1.75896288328899	0	0	0.709140107342937	4.82896485529181	0.54538906385081	0	0	0	1.11580477395673	0	0	3.28530841855101	0	0	0	0	2.23769080475974	6.60253665516479	0	0	0	0	0
clbB	multidrug	1.88588558342072	1.95710717431278	0.689934294691728	0	0	0	0	0.672142245463408	0.990128510640194	0	2.72499083767686	0	1.21429662048668	0	0	5.34024908125151	0.965572853178289	7.08750882446314	8.88674287337654	4.00261565299796	2.63374092778108	0	1.43332366704512	6.51959230106413
cmeB	multidrug	0	2.37835119468868	0.510647424609423	5.14526093377062	0	1.53131422364308	0	2.45137244248659	1.78315023192325	2.51460065625007	3.79020823650456	4.19115895874132	2.21348926820144	1.39997907843178	5.07325522999927	2.90830466396796	7.62964464092936	1.98141455206724	11.1207467571221	0	2.40092405018717	0	1.12241220866145	1.69767742043821
cmlv	phenicol	2.33166287168825	8.45917638085822	0.810632776872137	5.64964931997933	6.19300719825966	2.90746141785256	6.86429364412365	2.57022686394048	4.18105310757576	3.48339194356397	7.42399078611175	7.0051282438362	1.73470945783812	3.88044357727078	9.06400683148691	6.02629900590226	10.0369531796079	3.64353410077988	16.6829794814041	15.2273959864053	5.0431949066732	2.02568321865929	4.55991336798074	8.9426151745491
cmrA	phenicol	1.82087639554837	2.92410450958275	0.672645917933792	3.91675060696525	0	1.50634923128372	8.17316761057565	2.00925448681973	0	0	6.78582935549502	0	7.25617401483965	5.16324572343256	8.97183713847958	0	4.32888683109352	8.2376010240463	5.46833576537303	6.06892110454562	0	1.79541911493373	1.42786269295173	0
cmx	phenicol	17.8543090977987	0	0	0	3.64764469533834	0	4.47268078344902	0	0	2.44720305245403	0.353688168161766	3.87515171282157	0	0	2.80561930771252	2.18305188648003	0.71240436118642	0	1.99507795860091	5.31371060397997	0	0	0.781283360294344	0
dfrA26	diaminopyrimidine	0	0	0	0	0	0	0	0	0	0	0	0	2.83798467302316	2.69243625272068	0	0	0	0	0	0	0	1.4040159167521	0	0
dfrA3	diaminopyrimidine	7.73268811363527	7.9014940317588	0	3.12121526119251	10.6233827333945	1.20024001727731	4.5310382214437	4.80284569452702	0	0	4.3113964764768	2.44679896126432	14.7496562835116	2.7429057179306	5.31446527765675	6.81309114540206	5.98331348806363	0	3.7791201778717	13.9342527604368	0	0	0	0
dfrB6	diaminopyrimidine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dfrK	diaminopyrimidine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.69577761830996	0	0	0	0	0
efpA	multidrug	0	0	0	2.1279197164706	2.4144824276459	0	7.40097365425325	2.18292538713383	1.30531559105744	0	6.88203807442748	4.27482563908959	1.97109253329286	0	1.85712126123282	0	0	3.72965972668474	5.28240119327602	0	0.712499927119286	0.650049756044338	0	3.01777775572879
efrB	multidrug	0	2.8025774736159	0	1.87722370669162	0	0.72206439439403	5.87638558664237	0	0.863778004642026	2.96352387685647	1.30124022728791	0	0	0.825066039953525	2.45720479442949	0	0	0	1.74778497771188	1.15571967586563	0.94330976266497	0	0	0
emrA	quinolone	1.54412299574894	6.82489869472731	0.399233441058276	7.35458194425313	8.41201938361111	0.683272637035628	9.12460226931026	3.83254278834737	7.24976230598219	0.694077077689088	6.90418684425366	5.50996253171306	7.02487942046123	2.39137492112061	12.3605441494725	4.1760155214123	0.917735783470523	4.56675879797951	30.2562032444858	15.8297073118565	2.71201556766179	1.23738344407595	0	5.45286606238577
emrB	quinolone	0.655973662388131	1.57985146756906	0.339044277530645	3.52372718127589	3.91535394021988	1.62733342502527	0	1.08557120284829	0	0.835178493823496	0	1.27546543638846	1.47010844186921	0	2.769666590582	1.44868216647181	3.89835320372363	3.27119831561803	14.2909312113761	1.31171397598247	0	0.970039037364755	0	0.75160551347996
emrK	tetracycline	2.5969622717197	3.17386866325696	0.456221053334437	12.5537774777372	7.1839563396307	0.547309447878454	11.5328886836977	5.73370122806895	1.29428863780669	1.677845610291	4.87480580893018	11.0421960502814	7.16088064195574	2.41814568092762	6.43619005212896	5.7929052773832	3.14547132201525	2.18622549171903	28.8960918495961	0.871587200652819	0	0.652338663636043	4.27739897488269	2.9546116644165
emrY	tetracycline	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eptA	peptide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
farA	antibacterial free fatty acids	0	5.67449245855032	0	0	0	0	7.0987654932094	0.697757422500885	1.25201865034549	0	0	0.81981308370037	0.630046475086804	0	1.78129371237573	1.86304720401835	0	0	0	1.68684312626345	1.36729739535215	0	0	0
farB	antibacterial free fatty acids	2.79384724070452	5.74308440523099	0.700499413821578	3.16466257762831	0	0.376395269418165	4.56021694044103	2.79922654665553	2.51046969008725	2.58475722628338	2.27163320529729	1.97549672592116	3.48560953728272	0.480118216866572	3.75346366842621	0.997393511718166	1.61026936185526	3.53010034958812	2.03412421874128	2.20001485164781	0	0	2.58777359038779	5.43086439013093
hmrM	quinolone	0	0	0	8.29244470593625	3.40883105149163	0	2.78656766424573	4.39761359379412	2.58627999368615	2.32935578031943	3.35969152300825	0.804765119608953	7.22518053919294	0	8.5998899376202	3.91299172970235	2.38155011652816	2.95610456230757	3.99015591720181	10.3222418827314	0	1.22410778004406	0	0
iri	rifamycin	0.596536690619127	9.40678903554452	2.91053024271114	18.197434064415	14.0449618441662	3.43249441101035	16.2244098596267	3.59790776668408	10.4011736537692	2.25013403550653	14.3766280643602	5.53042776287738	6.46745944800925	10.8254808550711	11.9238820577782	5.54538028795772	10.900964254022	6.18896647127283	17.6052149590053	6.10977675457622	0.532869663803297	2.05818570646151	1.08527758482639	5.83470153571176
lfrA	quinolone	1.26365478521395	4.04543372488425	0.653436610424973	3.17365167758054	3.89750665722778	0	9.5706198311267	1.73414748543722	0.937750482699135	2.75147761462097	6.2881741834631	0	3.20805602402862	2.07539218241501	6.67020955636034	1.22531707472506	3.48033080996961	4.28685051378872	16.284149824256	4.59130842843889	0.511795722296952	1.81235703111235	0.978606557535507	4.34497540464997
lmrB	multidrug	0	0	0	0	0	0	3.17735407938865	1.56201349574537	0	0	0	0	0	0	1.99308790056279	1.38987788721604	0	3.20240284614524	2.8345725516189	3.77481445282734	1.52986780125824	0.69765903395181	0	0
lsaA	multidrug	0.34857307402031	0	0	1.12463628291288	0	0	0	2.30792745107672	0	0	0	0	0.520875426540191	0.988323788284754	0	1.02656772778305	0	1.18265188742524	8.37542280010977	0	0	0	0	0
macA	MLS	2.30163481824245	0	0	1.8242878958618	0	1.42761348615032	14.2527621330923	3.85201032289585	6.31017399774127	0.743738469959857	3.82204709312969	4.51739882024323	0.859953301898949	0.828138094357607	1.65055655917384	2.87776290652504	6.40133588181765	1.96723533316827	18.0310051291074	7.00798203024898	2.53439234639402	2.59104339381053	0.919263972387334	0
macB	MLS	0	0	0	0	0	0.962496474655021	2.61149535026171	0	1.1513977019324	0	0	2.26261188078538	1.15924850702462	0	0	1.71352934668583	0	0	2.32976018837552	3.10317232732428	0.628705921605961	0.573600242481377	0	0
mdsB	multidrug	0.214220752417455	4.12520914113243	0	1.72690597971259	0.58811046812072	0	2.53229597012608	0	0.953371999804363	1.3629293212089	4.30793573119145	3.33041541271229	1.27952169610139	1.82085053179105	3.1644927932517	0.315446211201541	1.01782565239754	1.45258220276119	3.19714496720807	1.71222315128246	0	0.316784810692029	0.503501811410568	1.96311695022244
